name,r,g,b,class_11,trainId
Animal,64,128,64,0,255
Archway,192,0,128,0,255
Bicyclist,0,128,192,1,0
Bridge,0,128,64,0,255
Building,128,0,0,1,1
Car,64,0,128,1,2
CartLuggagePram,64,0,192,0,255
Child,192,128,64,0,255
Column_Pole,192,192,128,1,3
Fence,64,64,128,1,4
LaneMkgsDriv,128,0,192,0,255
LaneMkgsNonDriv,192,0,64,0,255
Misc_Text,128,128,64,0,255
MotorcycleScooter,192,0,192,0,255
OtherMoving,128,64,64,0,255
ParkingBlock,64,192,128,0,255
Pedestrian,64,64,0,1,5
Road,128,64,128,1,6
RoadShoulder,128,128,192,0,255
Sidewalk,0,0,192,1,7
SignSymbol,192,128,128,1,8
Sky,128,128,128,1,9
SUVPickupTruck,64,128,192,0,255
TrafficCone,0,0,64,0,255
TrafficLight,0,64,64,0,255
Train,192,64,128,0,255
Tree,128,128,0,1,10
Truck_Bus,192,128,192,0,255
Tunnel,64,0,64,0,255
VegetationMisc,192,192,0,0,255
Void,0,0,0,0,255
Wall,64,192,0,0,255
